Occupation,Cap,Read,CI,WEI,PEI,CI_norm,WEI_norm,PEI_norm,EconomicExposure,AIPS
Purchasing Managers,2.6648377047532907,0.3162033547717147,11.126839490647026,216491.41513415735,401404.50346698816,0.4484014459733301,0.02628775403068828,0.9621986122963861,0.47896260410013486,0.40358855708673547
"Court, Municipal, and License Clerks",3.2252156150064093,0.3643601284814673,14.419401478757822,548318.9067072397,165131.03948832816,0.7294879824782906,0.0686915759972001,0.23053549807640678,0.34290501885063246,0.40296139557583494
Loan Officers,2.8678365771428704,0.3764663684160632,11.933386646000056,833192.5607573182,246691.3023658297,0.5172565039023055,0.10509522553215356,0.483101465192133,0.368484398208864,0.397831977508225
Telemarketers,3.334845488324452,0.38741800420603006,14.916441142292532,221533.78578939335,121188.28504571058,0.7719203369891697,0.026932112298112605,0.09445888574133182,0.29777044500953803,0.3847132163906711
Proofreaders and Copy Markers,3.4876630504302484,0.3016069520935104,15.278015727384743,17996.341340220082,183904.472649187,0.8027880163764615,0.0009223157106569243,0.28867079748656493,0.3641270431912278,0.3830264829829364
Medical and Health Services Managers,2.4915321600888607,0.3465574126141136,10.111468016360627,1409808.5574646809,343158.7244090388,0.3617190229836691,0.17878026576649084,0.781830121573462,0.440776470107874,0.38059238314729954
"Eligibility Interviewers, Government Programs",3.02085438079821,0.3881916408246055,13.26155073170414,472038.70554352825,163035.51093167937,0.6306420814886663,0.05894382407230169,0.22404631844583672,0.3045440746689349,0.35712982757723777
Personal Financial Advisors,2.32177210579037,0.3519938141513484,9.700363857992166,627992.9191741793,371971.1090686752,0.3266229961098117,0.0788730188426663,0.8710528329740006,0.4255162826421595,0.34775293481002817
Quality Control Systems Managers,2.8340897761826427,0.3644251698984763,11.618611311011618,207398.6898210458,220945.6389511988,0.4903840838814888,0.025125805984913836,0.4033754055898174,0.3062950984854067,0.31634575809031473
Accountants and Auditors,2.636774734482697,0.2549347954949614,10.877107775793387,3818814.480203945,246591.1731688218,0.4270818100675743,0.48662413301162044,0.482791397193495,0.4654991134242299,0.3129111237338856
Financial Managers,2.291857794379124,0.2645048365569186,8.754447390647004,1876160.6276346385,413611.5761516005,0.24586995802301237,0.2383748161259381,1.0,0.4947482580496502,0.29992009044926016
Credit Counselors,2.7591770452907753,0.40470715397363194,12.713076478680009,77560.46674312369,154210.40506130143,0.5838187479564835,0.008533941128436494,0.19671779692796987,0.26302349533763,0.293707471561191
Human Resources Managers,2.196070146635118,0.32113272007339805,8.375811539266339,473297.03800280066,352425.33713200374,0.21354575564033673,0.05910462481043438,0.8105258481649484,0.36105874287190654,0.2546294498919526
Appraisers and Assessors of Real Estate,2.419510060660353,0.4337944392335819,10.568117506206839,177059.74623912462,188625.00432908113,0.4007032619930242,0.021248830161720196,0.3032887696088908,0.24174695392121173,0.2537303528407283
Desktop Publishers,2.6947096059790367,0.3985827148391915,11.564479111856516,10778.838423916148,162356.25376023696,0.4857628094973321,0.0,0.22194287691226394,0.23590189546986537,0.2533738916174028
Budget Analysts,2.39418312019984,0.39749530314776393,9.993149330634116,112933.61777982644,224861.67864916896,0.35161813811201736,0.013054232053832961,0.41550212414964977,0.26005816477183336,0.24749125578943273
Insurance Claims and Policy Processing Clerks,2.7123773365276587,0.3617091824841449,11.893426879989612,621324.2764783908,140989.37395270768,0.513845132372177,0.07802084129616481,0.15577650529402398,0.24921415965412194,0.24450196573519217
Treasurers and Controllers,2.6948520368978426,0.2806389490697754,11.490707251014669,197209.27206018413,210090.66479655582,0.479464894095758,0.023823712976809863,0.36976103323913806,0.2910165467705686,0.2200901230672489
Medical Secretaries and Administrative Assistants,2.382420571997759,0.39471698837480557,10.412369109916208,1979219.7143928583,108590.72967165786,0.38740699682394997,0.2515446084966958,0.05544829842725857,0.23146663458263475,0.2176670274170105
Financial Examiners,2.265751139210085,0.35852420301509397,9.48918155683462,142357.14407656965,234845.10557912532,0.3085943297345488,0.01681422784200378,0.4464175943643634,0.2572753839803053,0.20899164344218357
Reservation and Transportation Ticket Agents and Travel Clerks,2.6724817151755365,0.3446316310688147,11.721997102023227,340581.06978197035,127530.8274481766,0.4992101451748566,0.0421450164854265,0.11409970468103164,0.2184849554471049,0.20122939219163036
Fundraisers,2.4310270082802274,0.38886287770407946,9.628461068860704,257518.6909871245,177781.00511553304,0.32048464365510043,0.03153057852600901,0.2697083831296871,0.2072412017702655,0.19591260150560869
Training and Development Specialists,2.239272879081106,0.4114976042525579,9.170755470203412,977688.9317356016,165168.76756102237,0.28141024446988505,0.12356023685693318,0.2306523298132262,0.2118742703800148,0.19523269586161604
